,Adjective,Sentence,Noun
19,"['SOLAR', 'RIGHT', 'BACKKICK']",Right to the solar Backfist to the right corkscrew punch to the right side kick to the left plant left backkick to the right round kick to the left ribs and spinning left hook kick,Backfist
20,"['RIGHT', 'COUNTER', 'FRONT']",Suppose your opponent executes a right and left corkscrew stepping on each the kempo practioner accepts the force by stepping back from a right cover to a left performing a right inward using the counter force from the block lead into a right outward using the counter force to strike with a right back fist to the the effect is to cause the attackers head to move backward and his midsection the Kempo practioner then slides left leg to right and executes a right front snap kick to the attackers groin,Kempo
21,"['INTERESTING', 'LITTLE', 'POSSIBLE']",One of the most interesting concept of Kempo is to use as little energy as possible to immobilize your opponent,Kempo
22,"['SMALL', 'FAVORITE', 'MARTIAL']",Small circle Jutitsu is my favorite martial art style to illustrate this concept,Jutitsu
23,"['NATURAL', 'BEAUTIFUL', 'PAINFUL', 'SOCIAL']",Combining natural movement with chi makes Kempo extremely beautiful to but painful to Kempo emphasizes a need for social order,Kempo
24,"['STRIKING', 'VERTICAL', 'CHINESE']",Kempo striking weapons are classified as Open hand Open hand spear or finger poke or variations of the hammer strike and vertical punch and corkscrew punches invert hammer tiger palm and dragon leapord or chinese and and head,leapord
25,"['FIRST', 'LIGHT', 'VITAL']",The objective is not to move to the but if forced to the plan a strategy to quickly get to your The first strike in Kempo will usually arrive in one of three a fast and light strike to a vital area followed by a more crushing such a tiger palm,Kempo
26,"['SIMPLIER', 'EFFECTIVE', 'MARTIAL']",Wing Chung was in an to train men for using a simplier more effective method of martial arts seeking to add order to,Chung
27,"['PACIFIST', 'VIOLENT', 'MARTIAL']",1235 the head of the Mitose clan the pacifist teachings of Buddhism but was a grandmaster of and violent martial art which was a combination of that Fu and their Aikjujutsu,Buddhism
28,"['SIMILAR', 'OLDER', 'OTHER']",Ryu Kempo is similar to but much older than Kwon and Jujutsu but there is no other art,Jujutsu
29,"['INTEGER', 'POSITIVE', 'NEGATIVE']",value from the currency value from Blank when the integer part is value from for positive and for negative value from for group for date from a string to a date,Blank
30,"['CURRENT', 'CLEAR', 'UNARCHIVED', 'SELECT', 'NECESSARY', 'CONSISTENT']",of Current Redo database is open but in a Hung determine the current log from alter database clear unarchived group perform a full database the database is closed select from current log sequence recover until cancel enter cancel when the archive equals the log sequence alter database open Unarchived Redo Log you do not have all archived redo logs during you cannot recover because you do not have all the redo necessary to make it consistent,Unarchived
31,"['PRIMARY', 'FOREIGN', 'UNIQUE']",Tables in to create a TABLE INITIAL NEXT to setting up the data Define and create the Define and create the primary key Define and create the foreign key Define and create the Primary and Foreign Key to add a constraint to an Key TABLE ADD CONSTRAINT PRIMARY KEY INDEX 20K NEXT 20K PCTINCREASE Key TABLE ADD key constraint KEY name Indexes in ON 20K NEXT 20K PCTINCREASE UNIQUE is specified the key the index is force to be unique index is assumed to be,UNIQUE
32,"['LARGE', 'SPECIFIC', 'ONLINE', 'PHYSICAL']",a for creating a SNAPSHOT 5 PCTUSED 5M NEXT INDEX 500K NEXT FAST NEXT sysdate 1 from a rollback a rollback of a large rollback ROLLBACK SEGMENT a rollback segment ROLLBACK SEGMENT a rollback segment ROLLBACK SEGMENT a rollback ROLLBACK SEGMENT Transactions to use a specific Rollback TRANSACTION USE ROLLBACK SEGMENT A tablespace can only belong to one Tablespaces can be brought online or Physical data for the tablespace is stored a datafile,Tablespaces
33,"['CONCURRENT', 'INACTIVE', 'SEVERAL']",CREATE PROFILE of Concurrent CPU time measured hundredths of time measured hundredths of time measure in of inactive time in of data of data space in the measured in Roles and Granting Privileges to than granting the same of privileges to several the privileges to a role and the role to a user,Granting
34,"['FIRST', 'NUMERIC', 'LOWER', 'RIGHT', 'SMALLEST', 'LARGER', 'EQUAL', 'LARGEST', 'SMALLER', 'POSITIVE', 'SQUARE']",String returns a char with the first of each word in the numeric position of char2 in length of returns char all lower return a char char1 left pad with remove all leading returns char char1 right pad with remove all trailing returns substring at m for n converts all characters returns the ascii code return a char is the result of char1 and Time add n months to d returns last day of the difference between d1 and round to Number absolute smallest integer larger than equal to cosine e raise to largest value smaller than equal to rounding of value to 1 if positive if square root of tangent of value truncated to Group Average of value for a group of count rows of maximum of all value for groups of minimum of all values for groups of sum of all values for groups of,Average
35,"['NECESSARY', 'INCREMENTAL', 'PARTICULAR']",of Media Media all necessary or incremental backup for the particular incarnation the database being recovered,Media
36,"['PRIMARY', 'STANDBY', 'CURRENT', 'ARCHIVED']",the Standby datafiles for primary the standby database control the primary current online redo archived and control file to the standby the standby standby,Standby
37,"['LARGEST', 'LEAST', 'GERMAN']",Drucker notes while Microsoft was becoming the largest software company as least two print companies were growing as one being German based Bertelsmann Group,Group
38,"['SCIENTIFIC', 'MANUAL', 'HISTORICAL']",Taylors scientific task analysis helped the manual worker acheive historical world class production,Taylors
39,"['MULTINATIONAL', 'INTERESTED', 'COMMUNISTIC']",multinational companies will rush to china more interested by the marketing opportunities than barriers of a communistic government,china
40,"['ASIAN', 'FINANCIAL', 'FOREIGN']",The asian financial crisis may reduce the amount of foreign investment pouring into china,china
41,"['LARGER', 'FINANCIAL', 'LOWER', 'CONVENIENT']",Credit Unions will continue to capture a larger share of the financial services offering free or lower rates than banks and more convenient services,Credit
42,"['REQUIRED', 'NECESSARY', 'BENEFICIAL']",8 Partnership is one way to bring required competencies creating the necessary theme strength to make the relationship beneficial,Partnership
43,"['TREMENDOUS', 'INNOVATIVE', 'EQUAL']",Greshenfeld unleashed a tremendous innovative power equal to the printing press,Greshenfeld
44,"['SMALLER', 'SOPHISTICATED', 'COMPLEX', 'HEURISTIC']",The smaller the components the more sophisticated the and the more complex the logic capacity and the more complex the logic the more acceptance of a machine performing heuristic pattern recognition like a the Turing test,Turing
45,"['PHYSICAL', 'BASIC', 'FRONTAL']",Danylewich demostrate a series of physical resistence basic palm palm finger claws to the eye groin forearm groin and frontal and back elbow strikes,Danylewich
46,"['COMPLETE', 'ADVANCED', 'AFFORDABLE', 'CONSCIOUS']",CYMAIV Financial Management System is a fully complete accounting system with advanced functionality at an affordable CYMAIV Edition is truly the affordable accounting alternative for value conscious NFP organizations,Edition
47,"['NATIVE', 'RIGHT', 'LOCAL', 'CONSISTENT', 'LOGICAL', 'READY', 'SEPARATE', 'CAREFUL', 'AVAILABLE', 'PRACTICAL', 'FUTURE', 'TECHNOLOGICAL', 'LATEST', 'AFFORDABLE']",CYMA IV provides true accounting functionality at a fraction of the cost of competing Windows native mode is from top to developed under Windows and Windows attention to the Windows 98 style The right mouse button pops up a local Screen color and fonts are selected by The Windows 98 look and feel is maintained use of the This innovation allows more information to be presented in a consistent and logical manner without overwhelming the ready straight from the package There are no separate and Careful attention has been paid to file and record locking to make the data available when and where the user needs practical security The system administrator can control user access at the task module company or report will grow with future technological Because CYMAIV is designed exclusively for Windows 98 and Windows NT you can be assured of keeping up to date with the latest operating system affordable CYMAIV is one of the most competitively priced systems available today for the accounting Pentium 166 4,Pentium
48,"['MULTIPLE', 'SINGLE', 'PERSONAL']",Simple Business Accounting may be used for multiple multiple divisions within a single business or for both business and personal accounting,Accounting
49,"['GRAPHIC', 'FLEXIBLE', 'ROBUST']",It features easy to use graphic menus with drill flexible robust reporting as well as ODBC Data Export to Microsoft etc,Microsoft
50,"['POWERFUL', 'ADVANCED', 'UNIQUE']",and powerful Advanced inventory Contact Serialized Dimensional Labour Supplier data Low Works on and terminals and via Complete Onsite Perfect for unique Will customize to suit,Perfect
51,"['OTHER', 'REQUIRED', 'ONLINE', 'AUDIBLE']",and monitor your site Proactively as well as offer them live push custom content and other web and much There are no required and Groopz works on all browsers and Give your visitors the support they want and build increase repeat and watch your online sales Guided Site Instantaneous Customer Visual as well as Audible Private Operator Customer Data Fully Cross Platform Flexible Conversation Dynamic Customizable Interface Frequently Used Response Auto 95 98,Response
52,"['DAILY', 'OPTIONAL', 'REMOTE']",sales and processes analuzes daily traffic includes inventory control generates more than 50 optional remote processing supports most POS peripherals Point of Sale ABS System,Point
53,"['FLEXIBLE', 'MULTIPLE', 'SUPER']",of Day Summary Daily Sales Register Detail Daily Receipts Detail Tracks customer and salesperon Instant inventory Flexible receipt Multiple discount Multiple payment MHz Pentium or 32 MB 100 MB hard disk or VGA or Super VGA Windows 95 or Laser or Inkjet,Inkjet
54,"['EXECUTABLE', 'OPTIONAL', 'UNLIMITED', 'MULTIPLE', 'SINGLE', 'SMALL', 'CUSTOMIZED', 'EASIER', 'SPECIFIC', 'SORTED']",Royalty free in compiled executable 3D with scroll and 3D openGL faster drawing all drawings are performed directly to Windows GDI Series TContour Series TPoint Series scatter with optional 3D TBezier Series new Depth Axis to display labels Series and Ticks for the dimensions in 3D New Back Wall sub component with 3D New Gradient filling styles Titles and Foot now accept the Brush Bitmap property to fill the Depth Axis Labels with and without rotation at design time and run Unlimited multiple axis connected to a single or to many All Axis and can now be moved and stretched to any Center Axis Grid method for all 3D Shadows in Point Series HorizAxis and VertAxis properties can display both Axes positioning of Series Marks option to draw new added points per Pie slices in 2D and 3D supporting Pie grouping small slices into a single Brush Bitmap for customized pattern has a clicked function to return Legend item index under the Series Height property for 3D strip and HorizBar Series can be resized when Zoomed Size Bar Brush Bitmap can be used to fill the points can be customized using the OnGetPointerStyle Shape styles Invert 2D Diag Shapes origin can be expressed in axis values and size expressed in Brush Bitmap for customized pattern Series is easier to use with Auto XZ Allows specific non sorted XYZ Legend now shows the surface palette,Legend
55,"['FLEXIBLE', 'POWERFUL', 'AVAILABLE', 'MEDICAL']",LEADTOOLS gives developers the most flexible and powerful imaging technology available offering imaging technology for color image image format Internet medical database Imaging Common FlashPix screen capture and more,FlashPix
56,"['POWERFUL', 'VISUAL', 'PRIVATE', 'UPDATEABLE']",2000 is a high quality VB components manager featuringextremely powerful import export for code and visual with designer and private wizards integratedin VB and Office an updateable library of more than of VB code,Office
57,"['ADVANCED', 'COMPLETE', 'PRIVATE', 'BRILLIANT', 'SPECIALIZED', 'AUTOMATIC', 'REGULAR']",data organization with advanced dragand drop complete VB components designer preview for documents and ActiveX and retrieves with all the private user controls they depend code by using shared 2000 code browse possibilities through four data and code down to routine in Project Brilliant searches with matches integration in VB and Office through specialized Store VB components to and retrieve components from directly from the IDE with a few mouse import for projects and project text notes and examples for each component stored in a the or example on any and automatic code databases maintenance quality code library containing over 90 components than lines of VB that can be used Library can be easily updated by using Update Package Files are released by AxTools on a regular,AxTools
58,"['LOWER', 'TOTAL', 'TAXABLE']",Gilder encourages support for the Laffer stating that lower capital gain taxes would increase the total taxable revenue,Laffer
59,"['CHIEF', 'SUITABLE', 'AGGREGATE', 'TOTAL', 'FISCAL', 'MONETARY']",Keynes defined the chief role of government to maintain suitable levels of aggregate or total demand by fiscal and monetary policies,Keynes
60,"['ORDINAL', 'TOTAL', 'VARIABLE']",name or ordinal the for or Name of the places after the total number of decimal of variable data in of data being value of the data to Parameter a portion of the parameter query string must first be examined before you the number of parameters and data types,Parameter
61,"['REPORTDB', 'REPORTTABLE', 'SELECT']",Obtaining a Visual Basic rsMyRecordset As bPrintReport As Report As app As repView As reportDb As reportTables As reportTable As an select sSQL from rsMyRecordset objConnection,objConnection
62,"['PERSONAL', 'SENIOR', 'GENUINE', 'MARTIAL']",who corresponded with me and acted as intercessor between myself and Thomas Barro Bruce the man who spent the most time and in correspondence with James Mitose during his Nimr the personal senior student prior to and Ramon Lono a genuine master of the martial arts and gentleman who trained with Mitose back in the Hawaii days,Hawaii
63,"['ARISTOCRATIC', 'TYPICAL', 'MODERN']",Motobu was born of an aristocratic Okinawan he could not accept the fact that he was to be treated like a a typical problem among many no longer aristocratic families of after the start of the Meiji Restoration and into modern times,Restoration
64,"['GREAT', 'MARTIAL', 'GENUINE']",Motobu began teaching in he was readily accepted as a great martial arts master by many who treated him with the respect he deserved as a genuine master teacher,Motobu
65,"['OTHER', 'MARTIAL', 'CONFIDENT']",reputation has been maligned by people of other martial arts but by those who knew him Tatsuo Yasuhiro and Kosei he was regarded as a yet supremely confident martial arts master,Kosei
66,"['EARLY', 'POSSIBLE', 'RESPECTABLE']",Motobu tried to immigrate to Hawaii in the early it is possible that Mitose knew that Motobu was not considered a respectable citizen by immigrations and did not want to totally associate his art with Motobu due to that fact,Motobu
67,"['SECOND', 'SHAOLIN', 'CHINESE', 'IMPOSSIBLE', 'VIOLENT']",second reason Mitose wanted his art to be considered Shorinji that is Shaolin martial is so that there would be a Chinese not a Japanese which would have been impossible to teach during the violent times of World War II,World
68,"['AMERICAN', 'SIMILAR', 'CHINESE']",Even combat manuals such as FM Unarmed Defense for the American Soldier tells a similar dealing with Chinese monks and the development of Jujutsu,Jujutsu
69,"['AWARE', 'DIRECT', 'MARTIAL']",would have been aware of this attitude and the history of these thus he created a that used this ideal and contained the truth that his Okinawan training actually did have a direct lineage back to Shorinji monks and the martial arts that developed through them and were modified by his meaning the martial arts masters before even though they were actually Motobu rather than Mitose,Mitose
70,"['FAMOUS', 'GREATEST', 'MARTIAL', 'ALIVE']",the story goes that on a trip back to Choki told his brother how famous he was on the and how he was considered the greatest martial artist alive by the Japanese,Japanese
71,"['RECOGNIZABLE', 'ADVANCED', 'MARTIAL']",art did include techniques easily recognizable to those of advanced skills in both Ninjutsu and Aiki related martial arts,Ninjutsu
72,"['EARLY', 'VERBAL', 'SUPERIOR']",students from the Hawaii from the early and even those who received his verbal instruction at the have superior skills from having been taught by Mitose,Mitose
73,"['TRADITIONAL', 'JAPANESE', 'MEDICINAL']",Mitose used traditional Japanese medicinal methods to treat a condition of Mrs,Mitose
74,"['SEVERE', 'GUILTY', 'RELATED']",were seven points to the with the most severe one being a charge of perjury in regard to testimony and hearsay by people who believed that Mitose was guilty of extortion or such related activities,Mitose
75,"['MARTIAL', 'ACTUAL', 'FORMAL']",then allows a practitioner of the martial art to defend against an actual What is the difference between a practitioner of the martial arts and what we would call a The attribute might be in the formal language of Busan,Busan
76,"['MARTIAL', 'COMMON', 'ACCURATE', 'SECOND']",In some schools of martial arts this is called by common Takeumu or in less accurate unless the second Kanji is Takemusu,Takemusu
77,"['ANCIENT', 'LEAST', 'OLDEST', 'EXTANT', 'JAPANESE']",The concept of Jiyu Kata is an ancient principle which can at the very least be traced back to the oldest extant system of Japanese martial the Tenshin Shoden Katori Shinto Ryu,Shinto
78,"['MARTIAL', 'TWELFTH', 'NECESSARY', 'ACTUAL']",The Daito Ryu and Motobu Ryu of Japan and both which are derived from the Minamoto martial arts of the twelfth have always used free style along with technique training to develop the spontaneity necessary for actual combat or self defense,defense
79,"['OUTWARD', 'RIGHT', 'VERTICAL', 'SOLAR']",Left punch Outward Right shuffle Left vertical the solar Left heel of the hand and claw from the left side of the Right hammer to the side of the The left punch increases in power as the weight of the body moves behind the punch,Right
80,"['SECOND', 'FIRST', 'THIRD', 'FOURTH']",the top labels lblcheck Right Red Check Old Style Bold Outline Black 4 the second label from the top and edit its to the lblto Right Blue To Univers Light Yellow 5 the Bottom label and edit its Comic Sans MS 6 four Command buttons under the labels and text the first command button and change cmdok 0 the Second command button and change Clears the text 1 the Third command button and change Resets colors in textbox to a default cmdResetColors Colors 2 the Fourth command button and change Unloads the cmdCancel 3 Click on your Cancel command button,Cancel
81,"['OTHER', 'EMBITTERED', 'ANGRY']",Landon on the other hand is a kid with a chip on his embittered from his father abandonment of the he is angry at the world,Landon
82,"['GREAT', 'MARTIAL', 'SUPERB']",If your a great martial artist make the journey and share ensights that will help you maintain superb Marital Art skill through out your life,Marital
83,"['ORIGINAL', 'EMOTIONAL', 'NECESSARY']",The authors authors original emotional competencies Social and Relationship Management with these competencies helped us measure the quality of but does not necessary describe how to improve a leader,Management
84,"['POPULAR', 'AVERAGE', 'PHENOMENIAL']",To remain popular Jamal maintains average class room test scores but his intelligence test scores reveal phenomenial intelligence to everyones surprise,Jamal
85,"['YOUNG', 'BLACK', 'HISTORICAL']",Jamal defiance surrounding a young black boy stereotype painting him as this annoys him as so he humilates the owner of a BMW with historical BMW triva,Jamal
86,"['SHORT', 'SPATIAL', 'GROSS', 'HIGHER']",of the weakness Levine addresses are short term memory sequencing spatial gross motor higher word and grammer and when a mind falls behind,Levine
87,"['HIERARCHIAL', 'AVAILABLE', 'HYPER']",The javascript source code can walk a hierarchial tree displaying a and make an url available for hyper link,javascript
88,"['DEFINITIVE', 'LOCAL', 'NUMERIC', 'CURRENT']",The Definitive The dayOfWeek uses the local machines clock to numeric value of the current day,dayOfWeek
89,"['CURRENT', 'ACTIVE', 'PREVIOUS']",Associate an attribute to a Remove an attribute name from a Remove a element matching a filtered Return the current value for the active Used with next and previous Set the current key Used with next and previous,Return
90,"['SINGLE', 'IMPRESSIVE', 'COMPLEX']",The single most impressive feature to the code was that it was built using Access Wizards rather than complex for I had been use to creating using Oracle,Oracle
91,"['CURRENT', 'EQUAL', 'VISIBLE', 'INVISIBLE']",If the current ANumber is equal to 40 then the lblCanYouSee will be made visible otherwise it will become invisible,ANumber
92,"['DETAILED', 'HISTORICAL', 'POPULAR', 'MARTIAL']",The book is written in a narrative that provides detailed historical lineages the most popular martial art disciplines and Okinawan known throughout the world,Okinawan
93,"['PHILOSOPHICAL', 'HISTORICAL', 'RELIGIOUS']",He effectively defends his intrepretations of these kata with philosophical discussions about their historical religious buddist and zen application,buddist
94,"['CLEAR', 'SPIRITUAL', 'MORAL']",It is clear that Mr Johnson believes that spiritual and moral development is the core of the Shaolin Martial Art system teachings,Martial
95,"['MIDDLE', 'AGRESSIVE', 'PASSIVE']",Johnson demostration of pushing hands conveys the the tao is the middle agressive and not passive,Johnson
96,"['WILLING', 'ACCURATE', 'EVIDENT', 'UNWILLING']",Da Chen seem willing to protray an accurate picture and it become evident from his book why he is unwilling to share the true protrait of conditions in china,china
97,"['UNUSUAL', 'PRIVILEGED', 'PRESTIGIOUS']",with an unusual ability to understand he becomes privileged to study at the prestigious Bejing University,University
98,"['SHOCKING', 'ANCIENT', 'CHINESE', 'STRANGE', 'CULTURAL', 'BRUTAL']",The memior is the story of coming of shocking ancient chinese marriage strange the hatred of the opening of cultural brutal violations of human and the awareness of the vast opportunities found in America,America
99,"['SUPER', 'TERRORIST', 'DIRTY']",Jack analysis of the new Russian in the prevents world destruction as he fights to keep the super powers from destroying after a terrorist group a dirty bomb during the super bowl and nearly kills the President,President
100,"['BLIND', 'LEAST', 'WRONG']",blind Sampson would at least limit of revenge should they be wrong,Sampson
101,"['ACTIVE', 'PAGAN', 'COMMON']",The priest were active in spreading the doctrine of Idol worship and advocated pagan god common among the Phoneticians and Greeks,Greeks
102,"['GREAT', 'COUNTLESS', 'SOLEMN', 'WIDOWED']",Let me is any miracle to great for the the widow woman condition seemed no husband to provide food for her and Countless hours of pleading in solemn prayer for tender feelings being confided in cries of hope for the mercies of the Lord to be given confiding in the harness of oppression and when would deliverance become Elijah meet the widowed as she was going about the activity gathering two sticks,Elijah
103,"['CUNNING', 'VALIANT', 'PRUDENT']",servant described David as cunning in playing the valiant sought valiant men to fight for a man of and prudent,David
104,"['HUMBLE', 'BRIGHT', 'RAPID']",Halberstam explorers the humble beginnings of Nissan Japanese unwillingness to provide a type new bright marketing celebrity endorsement of their and the rapid rise of Nissan sells reaching the number three position in the world in a matter of years,Nissan
105,"['INTERNAL', 'POSSIBLE', 'FINANCIAL', 'TECHNICAL', 'FRONT', 'POLITICAL']",Halsterstam described the internal vendors countering a possible financial the financial condition of Chrysler when Iacocca become the technical and manufacturing line problems confronting front wheel the demoralized state of the and the political battles between the visionaries,Iacocca
106,"['USUAL', 'MENTAL', 'RUSSIAN']",Gifted with an usual mind for detail and an insight into the behaviors and mental processes of the Russian Ramo Ryan gets a chance to impress some of the top ranking brass in the Pentagon,Pentagon
107,"['PERFECT', 'LOYAL', 'MAJOR']",Ryan reasons Ramo is defecting is not Ramos resents the party because he was at sea when his wife and Ramos was in a perfect position to defect because he command the loyal and training of all new captains of major lead ship and Ryan has meet Ramos,Ramos
108,"['ANCIENT', 'ISRAELI', 'FUTURE', 'CAPTIVE', 'STRANGE']",was son of Lehi an ancient Israeli prophet who prophesied about the future destruction of Israel by Babylon and foretold of the people eventually to be taken captive in a strange land,Babylon
109,"['WONDERFUL', 'MAGNIFICENT', 'FIRST', 'WHITE']",As Nephi concentrated on the personage another scene begin to appear more wonderful and magnificent than the first for she was a virgin in the city of Nazareth who was very fair and white,Nazareth
110,"['FAMOUS', 'APPROPRIATE', 'GREATEST']",Joseph was a carpenter by trade and his famous son would be known as of Nazareth or simply the did not seem appropriate for the greatest being ever to visit the earth,Nazareth
111,"['OTHER', 'POLITICAL', 'GENERAL']",On the other Halberstam would protray political campaign as focused on Gulf war tax breaks for the and general under estimation of Clintons ability,Clintons
