,Avg. Area Income,Avg. Area House Age,Avg. Area Number of Rooms,Avg. Area Number of Bedrooms,Area Population,Price,Address
4400,99317.82314540037,5.495860991149603,7.18272143989145,6.03,50350.352291575655,2219724.161793017,"87549 Garcia Path
Solomonside, ID 72003"
4528,74452.82103017729,5.1081476518539475,5.456042406756656,4.4,37298.071476047284,1065679.1208029888,"77636 Donald Avenue Apt. 063
Lake Savannahfort, ID 71155-2535"
4558,57227.32403710156,6.419142779980639,8.324158846640984,4.27,20744.00476179436,1002023.3582174428,"887 Samuel Street
North Carolville, ID 11574-6279"
4575,55306.91146521415,5.830789448812896,6.693980073791421,2.06,32446.99906870668,624244.9443876417,"16130 Jared Mountains Suite 452
South Stacie, ID 68079-4583"
4591,61592.93770114219,6.67710293684657,6.805077942937468,2.02,23011.96421832439,1060966.7414057308,"0808 Craig Views Suite 251
West Keith, ID 55946"
4643,53494.77376534212,6.520859828757372,8.167257906384911,4.1,41530.50954954794,1103485.7072640855,"3763 Lambert Islands
New Keithview, ID 84363"
4718,77595.07460306746,6.49247322044208,6.870963691043309,2.38,23825.97062118166,1185616.3400142193,"262 Jody Place Apt. 081
Port Brianland, ID 37750"
4821,70745.90880476378,6.17253664302728,7.831781332312668,3.0,34915.510208257365,1392313.7261295563,"515 Perkins Centers
Justinfurt, ID 88176"
4848,58725.63185123224,6.8193960839669625,6.025570210718759,2.27,22762.46618453746,866689.0911811923,"3321 Timothy Harbor
East Shannonhaven, ID 39704-4663"
4912,52193.01731044957,6.3341287467267575,7.4403320715618175,5.11,45134.84195531337,1107077.912966575,"1661 Lynn Grove
Floresbury, ID 25268"
4922,79522.97080476227,4.590627745404051,8.0442958754366,6.28,61223.99760748964,1727453.1546019888,"682 Taylor Prairie Apt. 893
Debramouth, ID 81085"
4984,62623.35982778393,5.0716241250198,6.771015065519388,3.33,50985.97120187618,1211899.6662200813,"9894 Greg Ridge
North Tiffanyhaven, ID 66602-9445"
