,Date,CO2,adjusted CO2
94,1966-06-01,323.75,321.57
95,1966-07-01,322.38,321.69
96,1966-08-01,320.36,321.66
97,1966-09-01,318.64,321.6
98,1966-10-01,318.1,321.17
99,1966-11-01,319.78,321.7
100,1966-12-01,321.03,321.81
101,1967-01-01,322.33,322.29
102,1967-02-01,322.5,321.85
103,1967-03-01,323.04,321.73
104,1967-04-01,324.42,322.05
105,1967-05-01,325.0,322.11
106,1967-06-01,324.09,321.91
107,1967-07-01,322.54,321.85
108,1967-08-01,320.92,322.22
109,1967-09-01,319.25,322.23
110,1967-10-01,319.39,322.47
111,1967-11-01,320.73,322.65
112,1967-12-01,321.96,322.74
113,1968-01-01,322.57,322.53
114,1968-02-01,323.15,322.5
115,1968-03-01,323.89,322.55
116,1968-04-01,325.02,322.62
117,1968-05-01,325.57,322.68
118,1968-06-01,325.36,323.19
119,1968-07-01,324.14,323.47
120,1968-08-01,322.11,323.44
121,1968-09-01,320.33,323.32
122,1968-10-01,320.25,323.33
123,1968-11-01,321.32,323.25
124,1968-12-01,322.89,323.68
125,1969-01-01,324.0,323.96
126,1969-02-01,324.41,323.77
127,1969-03-01,325.63,324.32
128,1969-04-01,326.66,324.28
129,1969-05-01,327.38,324.48
130,1969-06-01,326.71,324.51
131,1969-07-01,325.88,325.18
132,1969-08-01,323.66,324.97
133,1969-09-01,322.38,325.37
134,1969-10-01,321.78,324.88
135,1969-11-01,322.85,324.79
136,1969-12-01,324.12,324.91
137,1970-01-01,325.06,325.02
138,1970-02-01,325.98,325.33
139,1970-03-01,326.93,325.61
140,1970-04-01,328.13,325.74
141,1970-05-01,328.08,325.16
142,1970-06-01,327.67,325.46
143,1970-07-01,326.34,325.64
144,1970-08-01,324.69,326.0
145,1970-09-01,323.1,326.1
146,1970-10-01,323.06,326.18
147,1970-11-01,324.01,325.95
148,1970-12-01,325.13,325.93
149,1971-01-01,326.17,326.13
150,1971-02-01,326.68,326.03
151,1971-03-01,327.17,325.85
152,1971-04-01,327.79,325.38
153,1971-05-01,328.93,326.0
154,1971-06-01,328.57,326.36
155,1971-07-01,327.36,326.65
156,1971-08-01,325.43,326.75
157,1971-09-01,323.36,326.37
158,1971-10-01,323.56,326.68
159,1971-11-01,324.8,326.75
160,1971-12-01,326.01,326.81
161,1972-01-01,326.77,326.73
162,1972-02-01,327.63,326.98
163,1972-03-01,327.75,326.4
164,1972-04-01,329.72,327.29
165,1972-05-01,330.07,327.13
166,1972-06-01,329.09,326.89
167,1972-07-01,328.04,327.36
168,1972-08-01,326.32,327.67
169,1972-09-01,324.84,327.87
170,1972-10-01,325.2,328.33
171,1972-11-01,326.5,328.45
172,1972-12-01,327.55,328.35
173,1973-01-01,328.55,328.5
174,1973-02-01,329.56,328.9
175,1973-03-01,330.3,328.97
176,1973-04-01,331.5,329.08
177,1973-05-01,332.48,329.53
178,1973-06-01,332.07,329.84
179,1973-07-01,330.87,330.16
180,1973-08-01,329.31,330.64
181,1973-09-01,327.51,330.55
182,1973-10-01,327.18,330.32
183,1973-11-01,328.16,330.13
184,1973-12-01,328.64,329.44
185,1974-01-01,329.35,329.31
186,1974-02-01,330.71,330.05
187,1974-03-01,331.48,330.14
188,1974-04-01,332.65,330.22
189,1974-05-01,333.09,330.13
190,1974-06-01,332.25,330.01
191,1974-07-01,331.18,330.46
192,1974-08-01,329.39,330.73
193,1974-09-01,327.43,330.48
194,1974-10-01,327.37,330.52
195,1974-11-01,328.46,330.43
196,1974-12-01,329.57,330.38
197,1975-01-01,330.4,330.36
198,1975-02-01,331.4,330.74
199,1975-03-01,332.04,330.69
200,1975-04-01,333.31,330.87
201,1975-05-01,333.97,331.0
202,1975-06-01,333.6,331.36
203,1975-07-01,331.9,331.19
204,1975-08-01,330.06,331.39
205,1975-09-01,328.56,331.61
206,1975-10-01,328.34,331.5
207,1975-11-01,329.49,331.47
208,1975-12-01,330.76,331.57
209,1976-01-01,331.75,331.7
210,1976-02-01,332.57,331.9
211,1976-03-01,333.5,332.12
212,1976-04-01,334.58,332.12
213,1976-05-01,334.88,331.9
214,1976-06-01,334.33,332.1
215,1976-07-01,333.05,332.36
216,1976-08-01,330.94,332.31
217,1976-09-01,329.3,332.38
218,1976-10-01,328.94,332.11
219,1976-11-01,330.31,332.29
220,1976-12-01,331.68,332.49
221,1977-01-01,332.93,332.88
222,1977-02-01,333.42,332.75
223,1977-03-01,334.7,333.35
224,1977-04-01,336.07,333.62
225,1977-05-01,336.75,333.76
226,1977-06-01,336.27,334.01
227,1977-07-01,334.92,334.2
228,1977-08-01,332.75,334.1
229,1977-09-01,331.59,334.67
230,1977-10-01,331.16,334.35
231,1977-11-01,332.4,334.4
232,1977-12-01,333.85,334.66
233,1978-01-01,334.97,334.93
234,1978-02-01,335.39,334.72
235,1978-03-01,336.64,335.28
236,1978-04-01,337.76,335.3
237,1978-05-01,338.01,335.02
238,1978-06-01,337.9,335.63
239,1978-07-01,336.54,335.82
240,1978-08-01,334.68,336.03
241,1978-09-01,332.76,335.85
242,1978-10-01,332.55,335.74
243,1978-11-01,333.92,335.92
244,1978-12-01,334.95,335.77
245,1979-01-01,336.23,336.18
246,1979-02-01,336.76,336.09
247,1979-03-01,337.96,336.6
248,1979-04-01,338.88,336.41
249,1979-05-01,339.47,336.47
250,1979-06-01,339.29,337.01
251,1979-07-01,337.73,337.01
252,1979-08-01,336.09,337.44
253,1979-09-01,333.92,337.01
254,1979-10-01,333.86,337.07
255,1979-11-01,335.29,337.3
256,1979-12-01,336.73,337.55
257,1980-01-01,338.01,337.97
258,1980-02-01,338.36,337.69
259,1980-03-01,340.07,338.68
260,1980-04-01,340.76,338.26
261,1980-05-01,341.47,338.45
262,1980-06-01,341.17,338.91
263,1980-07-01,339.56,338.86
264,1980-08-01,337.6,338.99
265,1980-09-01,335.88,339.0
266,1980-10-01,336.02,339.23
267,1980-11-01,337.1,339.11
268,1980-12-01,338.21,339.03
269,1981-01-01,339.24,339.19
270,1981-02-01,340.48,339.8
271,1981-03-01,341.38,340.01
272,1981-04-01,342.5,340.02
273,1981-05-01,342.91,339.89
274,1981-06-01,342.25,339.96
275,1981-07-01,340.49,339.76
276,1981-08-01,338.43,339.8
277,1981-09-01,336.69,339.81
278,1981-10-01,336.86,340.08
279,1981-11-01,338.36,340.38
280,1981-12-01,339.61,340.44
281,1982-01-01,340.75,340.71
282,1982-02-01,341.61,340.94
283,1982-03-01,342.7,341.32
284,1982-04-01,343.57,341.08
285,1982-05-01,344.14,341.1
286,1982-06-01,343.35,341.05
287,1982-07-01,342.06,341.32
288,1982-08-01,339.81,341.18
289,1982-09-01,337.98,341.1
290,1982-10-01,337.86,341.1
291,1982-11-01,339.26,341.29
292,1982-12-01,340.49,341.32
293,1983-01-01,341.38,341.33
294,1983-02-01,342.52,341.84
295,1983-03-01,343.1,341.72
296,1983-04-01,344.94,342.44
297,1983-05-01,345.76,342.71
298,1983-06-01,345.32,343.01
299,1983-07-01,343.98,343.25
300,1983-08-01,342.38,343.75
301,1983-09-01,339.87,343.0
302,1983-10-01,339.99,343.24
303,1983-11-01,341.15,343.19
304,1983-12-01,342.99,343.82
305,1984-01-01,343.7,343.65
306,1984-02-01,344.5,343.83
307,1984-03-01,345.28,343.87
308,1984-04-01,347.05,344.52
309,1984-05-01,347.43,344.38
310,1984-06-01,346.8,344.51
311,1984-07-01,345.39,344.69
312,1984-08-01,343.28,344.68
313,1984-09-01,341.07,344.23
314,1984-10-01,341.35,344.6
315,1984-11-01,342.98,345.01
316,1984-12-01,344.22,345.05
317,1985-01-01,344.97,344.92
318,1985-02-01,345.99,345.31
319,1985-03-01,347.42,346.04
320,1985-04-01,348.35,345.83
321,1985-05-01,348.93,345.86
322,1985-06-01,348.25,345.93
323,1985-07-01,346.56,345.82
324,1985-08-01,344.67,346.06
325,1985-09-01,343.09,346.24
326,1985-10-01,342.8,346.07
327,1985-11-01,344.24,346.29
328,1985-12-01,345.56,346.39
329,1986-01-01,346.3,346.25
330,1986-02-01,346.95,346.27
331,1986-03-01,347.85,346.46
332,1986-04-01,349.55,347.03
333,1986-05-01,350.22,347.14
334,1986-06-01,349.55,347.23
335,1986-07-01,347.94,347.2
336,1986-08-01,345.9,347.29
337,1986-09-01,344.85,348.02
338,1986-10-01,344.17,347.45
339,1986-11-01,345.66,347.71
340,1986-12-01,346.9,347.74
341,1987-01-01,348.02,347.98
342,1987-02-01,348.48,347.79
343,1987-03-01,349.42,348.02
344,1987-04-01,350.98,348.45
345,1987-05-01,351.85,348.76
346,1987-06-01,351.26,348.92
347,1987-07-01,349.51,348.77
348,1987-08-01,348.1,349.49
349,1987-09-01,346.45,349.62
350,1987-10-01,346.36,349.65
351,1987-11-01,347.81,349.87
352,1987-12-01,348.96,349.81
353,1988-01-01,350.43,350.39
354,1988-02-01,351.73,351.04
355,1988-03-01,352.22,350.79
356,1988-04-01,353.59,351.02
357,1988-05-01,354.22,351.12
358,1988-06-01,353.8,351.48
359,1988-07-01,352.38,351.66
360,1988-08-01,350.43,351.85
361,1988-09-01,348.73,351.92
362,1988-10-01,348.88,352.18
363,1988-11-01,350.07,352.13
364,1988-12-01,351.34,352.18
365,1989-01-01,352.76,352.71
366,1989-02-01,353.07,352.38
367,1989-03-01,353.68,352.27
368,1989-04-01,355.42,352.87
369,1989-05-01,355.67,352.56
370,1989-06-01,355.12,352.77
371,1989-07-01,353.9,353.15
372,1989-08-01,351.67,353.07
373,1989-09-01,349.81,353.0
374,1989-10-01,349.99,353.3
375,1989-11-01,351.3,353.37
376,1989-12-01,352.52,353.37
377,1990-01-01,353.66,353.62
378,1990-02-01,354.7,354.0
379,1990-03-01,355.38,353.97
380,1990-04-01,356.2,353.64
381,1990-05-01,357.16,354.04
382,1990-06-01,356.23,353.87
383,1990-07-01,354.81,354.06
384,1990-08-01,352.91,354.31
385,1990-09-01,350.96,354.17
386,1990-10-01,351.18,354.5
387,1990-11-01,352.83,354.91
388,1990-12-01,354.21,355.06
389,1991-01-01,354.72,354.68
390,1991-02-01,355.75,355.05
391,1991-03-01,357.16,355.74
392,1991-04-01,358.6,356.03
393,1991-05-01,359.34,356.21
394,1991-06-01,358.24,355.88
395,1991-07-01,356.17,355.42
396,1991-08-01,354.01,355.42
397,1991-09-01,352.15,355.37
398,1991-10-01,352.21,355.55
399,1991-11-01,353.75,355.83
400,1991-12-01,354.99,355.84
401,1992-01-01,355.99,355.94
402,1992-02-01,356.72,356.02
403,1992-03-01,357.81,356.36
404,1992-04-01,359.15,356.55
405,1992-05-01,359.66,356.53
406,1992-06-01,359.25,356.9
407,1992-07-01,357.02,356.3
408,1992-08-01,355.0,356.44
409,1992-09-01,353.01,356.25
410,1992-10-01,353.31,356.64
411,1992-11-01,354.16,356.25
412,1992-12-01,355.4,356.25
413,1993-01-01,356.7,356.66
414,1993-02-01,357.17,356.46
415,1993-03-01,358.38,356.95
416,1993-04-01,359.46,356.88
417,1993-05-01,360.28,357.13
418,1993-06-01,359.6,357.22
419,1993-07-01,357.57,356.81
420,1993-08-01,355.52,356.94
421,1993-09-01,353.69,356.93
422,1993-10-01,353.99,357.34
423,1993-11-01,355.34,357.44
424,1993-12-01,356.8,357.66
425,1994-01-01,358.37,358.32
426,1994-02-01,358.91,358.21
427,1994-03-01,359.97,358.54
428,1994-04-01,361.26,358.67
429,1994-05-01,361.69,358.53
430,1994-06-01,360.94,358.56
431,1994-07-01,359.55,358.79
432,1994-08-01,357.48,358.9
433,1994-09-01,355.84,359.09
434,1994-10-01,356.0,359.36
435,1994-11-01,357.58,359.69
436,1994-12-01,359.04,359.9
437,1995-01-01,359.97,359.92
438,1995-02-01,361.0,360.3
439,1995-03-01,361.63,360.2
440,1995-04-01,363.45,360.85
441,1995-05-01,363.8,360.63
442,1995-06-01,363.26,360.87
443,1995-07-01,361.89,361.13
444,1995-08-01,359.45,360.88
445,1995-09-01,358.05,361.31
446,1995-10-01,357.75,361.13
447,1995-11-01,359.56,361.68
448,1995-12-01,360.7,361.56
449,1996-01-01,362.05,362.0
450,1996-02-01,363.24,362.54
451,1996-03-01,364.02,362.56
452,1996-04-01,364.71,362.08
453,1996-05-01,365.42,362.24
454,1996-06-01,364.97,362.59
455,1996-07-01,363.65,362.92
456,1996-08-01,361.48,362.94
457,1996-09-01,359.45,362.73
458,1996-10-01,359.61,362.99
459,1996-11-01,360.76,362.87
460,1996-12-01,362.33,363.19
461,1997-01-01,363.19,363.14
462,1997-02-01,363.99,363.28
463,1997-03-01,364.56,363.12
464,1997-04-01,366.36,363.74
465,1997-05-01,366.8,363.61
466,1997-06-01,365.63,363.22
467,1997-07-01,364.47,363.7
468,1997-08-01,362.5,363.94
469,1997-09-01,360.19,363.47
470,1997-10-01,360.78,364.17
471,1997-11-01,362.43,364.56
472,1997-12-01,364.28,365.14
473,1998-01-01,365.33,365.28
474,1998-02-01,366.15,365.44
475,1998-03-01,367.31,365.87
476,1998-04-01,368.61,365.99
477,1998-05-01,369.3,366.11
478,1998-06-01,368.88,366.46
479,1998-07-01,367.64,366.87
480,1998-08-01,365.78,367.22
481,1998-09-01,363.9,367.19
482,1998-10-01,364.23,367.64
483,1998-11-01,365.46,367.59
484,1998-12-01,366.97,367.84
485,1999-01-01,368.15,368.1
486,1999-02-01,368.87,368.16
487,1999-03-01,369.59,368.14
488,1999-04-01,371.14,368.51
489,1999-05-01,371.0,367.8
490,1999-06-01,370.35,367.93
491,1999-07-01,369.27,368.49
492,1999-08-01,366.93,368.37
493,1999-09-01,364.64,367.94
494,1999-10-01,365.13,368.55
495,1999-11-01,366.68,368.81
496,1999-12-01,368.0,368.88
497,2000-01-01,369.14,369.09
498,2000-02-01,369.46,368.75
499,2000-03-01,370.51,369.03
500,2000-04-01,371.66,369.0
501,2000-05-01,371.83,368.61
502,2000-06-01,371.69,369.28
503,2000-07-01,370.12,369.37
504,2000-08-01,368.12,369.6
505,2000-09-01,366.62,369.94
506,2000-10-01,366.73,370.15
507,2000-11-01,368.29,370.43
508,2000-12-01,369.52,370.4
509,2001-01-01,370.28,370.23
510,2001-02-01,371.5,370.78
511,2001-03-01,372.12,370.66
512,2001-04-01,372.86,370.21
513,2001-05-01,374.02,370.79
514,2001-06-01,373.31,370.87
515,2001-07-01,371.62,370.84
516,2001-08-01,369.55,371.0
517,2001-09-01,367.96,371.28
518,2001-10-01,368.09,371.53
519,2001-11-01,369.68,371.83
520,2001-12-01,371.24,372.12
521,2002-01-01,372.44,372.39
522,2002-02-01,373.08,372.36
523,2002-03-01,373.52,372.05
524,2002-04-01,374.85,372.2
525,2002-05-01,375.55,372.31
526,2002-06-01,375.4,372.95
527,2002-07-01,374.02,373.24
528,2002-08-01,371.48,372.94
529,2002-09-01,370.7,374.03
530,2002-10-01,370.25,373.7
531,2002-11-01,372.08,374.24
532,2002-12-01,373.78,374.66
533,2003-01-01,374.68,374.63
534,2003-02-01,375.62,374.9
535,2003-03-01,376.11,374.64
536,2003-04-01,377.65,374.99
537,2003-05-01,378.35,375.11
538,2003-06-01,378.13,375.67
539,2003-07-01,376.6,375.82
540,2003-08-01,374.48,375.95
541,2003-09-01,372.98,376.32
542,2003-10-01,373.0,376.46
543,2003-11-01,374.35,376.51
544,2003-12-01,375.69,376.57
545,2004-01-01,376.79,376.74
546,2004-02-01,377.37,376.64
547,2004-03-01,378.39,376.89
548,2004-04-01,380.5,377.8
549,2004-05-01,380.62,377.36
550,2004-06-01,379.55,377.11
551,2004-07-01,377.76,377.01
552,2004-08-01,375.83,377.33
553,2004-09-01,374.05,377.41
554,2004-10-01,374.22,377.69
555,2004-11-01,375.84,378.01
556,2004-12-01,377.44,378.33
557,2005-01-01,378.34,378.29
558,2005-02-01,379.61,378.88
559,2005-03-01,380.08,378.61
560,2005-04-01,382.05,379.37
561,2005-05-01,382.24,378.97
562,2005-06-01,382.08,379.61
563,2005-07-01,380.66,379.88
564,2005-08-01,378.67,380.14
565,2005-09-01,376.42,379.78
566,2005-10-01,376.8,380.28
567,2005-11-01,378.31,380.49
568,2005-12-01,379.96,380.85
569,2006-01-01,381.37,381.32
570,2006-02-01,382.02,381.29
571,2006-03-01,382.56,381.08
572,2006-04-01,384.36,381.68
573,2006-05-01,384.92,381.65
574,2006-06-01,384.03,381.55
575,2006-07-01,382.28,381.49
576,2006-08-01,380.48,381.95
577,2006-09-01,378.81,382.18
578,2006-10-01,379.06,382.55
579,2006-11-01,380.14,382.33
580,2006-12-01,381.66,382.55
581,2007-01-01,382.58,382.53
582,2007-02-01,383.71,382.98
583,2007-03-01,384.34,382.85
584,2007-04-01,386.23,383.53
585,2007-05-01,386.41,383.13
586,2007-06-01,385.87,383.39
587,2007-07-01,384.44,383.65
588,2007-08-01,381.84,383.32
589,2007-09-01,380.86,384.25
590,2007-10-01,380.86,384.36
591,2007-11-01,382.36,384.55
592,2007-12-01,383.61,384.51
593,2008-01-01,385.07,385.02
594,2008-02-01,385.84,385.11
595,2008-03-01,385.83,384.31
596,2008-04-01,386.77,384.04
597,2008-05-01,388.51,385.22
598,2008-06-01,388.05,385.58
599,2008-07-01,386.25,385.49
600,2008-08-01,384.08,385.6
601,2008-09-01,383.09,386.49
602,2008-10-01,382.78,386.28
603,2008-11-01,384.01,386.2
604,2008-12-01,385.11,386.01
605,2009-01-01,386.65,386.61
606,2009-02-01,387.12,386.39
607,2009-03-01,388.52,387.02
608,2009-04-01,389.57,386.86
609,2009-05-01,390.17,386.86
610,2009-06-01,389.62,387.12
611,2009-07-01,388.07,387.27
612,2009-08-01,386.08,387.57
613,2009-09-01,384.65,388.06
614,2009-10-01,384.33,387.85
615,2009-11-01,386.05,388.25
616,2009-12-01,387.49,388.39
617,2010-01-01,388.55,388.5
618,2010-02-01,390.08,389.34
619,2010-03-01,391.01,389.51
620,2010-04-01,392.38,389.66
621,2010-05-01,393.22,389.9
622,2010-06-01,392.24,389.73
623,2010-07-01,390.33,389.53
624,2010-08-01,388.52,390.01
625,2010-09-01,386.84,390.25
626,2010-10-01,387.16,390.7
627,2010-11-01,388.67,390.88
628,2010-12-01,389.81,390.71
629,2011-01-01,391.3,391.25
630,2011-02-01,391.92,391.18
631,2011-03-01,392.45,390.95
632,2011-04-01,393.37,390.64
633,2011-05-01,394.28,390.96
634,2011-06-01,393.69,391.18
635,2011-07-01,392.59,391.79
636,2011-08-01,390.21,391.71
637,2011-09-01,389.0,392.43
638,2011-10-01,388.93,392.48
639,2011-11-01,390.24,392.46
640,2011-12-01,391.8,392.71
641,2012-01-01,393.07,393.02
642,2012-02-01,393.35,392.61
643,2012-03-01,394.36,392.82
644,2012-04-01,396.43,393.66
645,2012-05-01,396.87,393.53
646,2012-06-01,395.88,393.38
647,2012-07-01,394.52,393.75
648,2012-08-01,392.54,394.07
649,2012-09-01,391.13,394.57
650,2012-10-01,391.01,394.56
651,2012-11-01,392.95,395.17
652,2012-12-01,394.33,395.24
653,2013-01-01,395.61,395.55
654,2013-02-01,396.85,396.1
655,2013-03-01,397.26,395.74
656,2013-04-01,398.35,395.6
657,2013-05-01,399.98,396.63
658,2013-06-01,398.87,396.34
659,2013-07-01,397.37,396.56
660,2013-08-01,395.41,396.92
661,2013-09-01,393.39,396.84
662,2013-10-01,393.7,397.26
663,2013-11-01,395.19,397.43
664,2013-12-01,396.82,397.73
665,2014-01-01,397.93,397.87
666,2014-02-01,398.1,397.35
667,2014-03-01,399.47,397.95
668,2014-04-01,401.33,398.57
669,2014-05-01,401.88,398.52
670,2014-06-01,401.31,398.77
671,2014-07-01,399.07,398.26
672,2014-08-01,397.21,398.72
673,2014-09-01,395.4,398.86
674,2014-10-01,395.65,399.23
675,2014-11-01,397.23,399.46
676,2014-12-01,398.79,399.7
677,2015-01-01,399.85,399.8
678,2015-02-01,400.31,399.56
679,2015-03-01,401.51,399.99
680,2015-04-01,403.45,400.69
681,2015-05-01,404.1,400.74
682,2015-06-01,402.88,400.33
683,2015-07-01,401.61,400.8
684,2015-08-01,399.0,400.51
685,2015-09-01,397.5,400.96
686,2015-10-01,398.28,401.87
687,2015-11-01,400.24,402.48
688,2015-12-01,401.89,402.81
689,2016-01-01,402.65,402.6
690,2016-02-01,404.16,403.41
691,2016-03-01,404.85,403.3
692,2016-04-01,407.57,404.77
693,2016-05-01,407.66,404.28
694,2016-06-01,407.0,404.48
695,2016-07-01,404.5,403.72
696,2016-08-01,402.24,403.79
697,2016-09-01,401.01,404.5
698,2016-10-01,401.5,405.09
699,2016-11-01,403.64,405.88
700,2016-12-01,404.55,405.47
701,2017-01-01,406.07,406.02
702,2017-02-01,406.64,405.89
703,2017-03-01,407.05,405.52
704,2017-04-01,408.95,406.17
705,2017-05-01,409.91,406.52
706,2017-06-01,409.12,406.56
707,2017-07-01,407.2,406.38
708,2017-08-01,405.24,406.76
709,2017-09-01,403.27,406.75
710,2017-10-01,403.64,407.25
711,2017-11-01,405.17,407.43
712,2017-12-01,406.75,407.68
713,2018-01-01,408.05,408.0
714,2018-02-01,408.34,407.59
715,2018-03-01,409.25,407.72
716,2018-04-01,410.3,407.52
717,2018-05-01,411.3,407.91
718,2018-06-01,410.88,408.31
719,2018-07-01,408.9,408.08
720,2018-08-01,407.1,408.63
721,2018-09-01,405.59,409.08
722,2018-10-01,405.99,409.61
723,2018-11-01,408.12,410.38
724,2018-12-01,409.23,410.15
725,2019-01-01,410.92,410.87
726,2019-02-01,411.66,410.9
727,2019-03-01,412.0,410.46
728,2019-04-01,413.52,410.72
729,2019-05-01,414.83,411.42
730,2019-06-01,413.96,411.38
731,2019-07-01,411.85,411.03
732,2019-08-01,410.08,411.62
733,2019-09-01,408.55,412.06
734,2019-10-01,408.43,412.06
735,2019-11-01,410.29,412.56
736,2019-12-01,411.85,412.78
737,2020-01-01,413.37,413.32
738,2020-02-01,414.09,413.33
739,2020-03-01,414.51,412.94
740,2020-04-01,416.18,413.35
